year	2009
imdb score	6.4
meta score	60
genre	Comedy
genre	Drama
keyword	comedian
keyword	stand up comedian
keyword	woman on top
keyword	husband wife relationship
keyword	see through panties
keyword	fight
keyword	womanizer
keyword	swimming in one's underwear
keyword	mother daughter relationship
keyword	singing in a car
keyword	cheating
keyword	sex
keyword	watching tv
keyword	cameo appearance
keyword	television star
keyword	old flame
keyword	bare breasts
keyword	employer employee relationship
keyword	adultery
keyword	stand up comedy
keyword	premarital sex
keyword	jealousy
keyword	airport
keyword	experimental drug
keyword	female nudity
keyword	gay slur
keyword	doctor patient relationship
keyword	joke
keyword	reference to jon favreau
keyword	terminal illness
keyword	facebook
keyword	san francisco california
keyword	extramarital affair
keyword	unfaithfulness
keyword	f word
keyword	swedish accent
keyword	australian accent
keyword	male bonding
keyword	cheating wife
keyword	penis joke
keyword	leukemia
keyword	groupies
keyword	infidelity
keyword	reference to robin williams
keyword	thanksgiving
keyword	box office flop
keyword	craigslist
keyword	arrested development
keyword	sexual joke
keyword	myspace
keyword	marriage
keyword	marital problem
keyword	mansion
keyword	massage parlor
keyword	peanut butter
keyword	title spoken by character
cast	Brian Lally	Comedy & Magic Club Audience
cast	Brandon Johnson	DJ Ol youngin
cast	Don Abernathy	Pedestrian
cast	Leo Baligaya	Airport Traveler
cast	Matthew Black	Comedy Club Patron
cast	Brett Ryan Bonowicz	Improv Audience Member
cast	Michael Patrick Breen	Comedy Club Goer
cast	Jason Canning	Comedy & Magic Club Audience
cast	Jack Chevanty	Patron
cast	James Chiello	Passenger
cast	John Clerkin	Traveler in S.F. Airport
cast	Clark Coffey	Fan
cast	Zachary Culbertson	Boyfriend of Tall Blonde at the Airport
cast	Alex Dominguez	Show room manager
cast	Aaron Drake	Comedy Club Patron
cast	Ezra Edmond	Largo Audience Member
cast	Laivan Greene	Yo Teach...! Cast Member #2
cast	Heather Howe	Comedy Club Patron
cast	Stephen Bradley Jones	Security Guard #1
cast	Mohammad Kavianpour	Paparazzi
cast	Susan Krebs	Mildred
cast	Matt Landry	Comedy & Magic Club Audience
cast	Mark Lavell	Airport Traveler
cast	Jane Le	Jane
cast	Cameron Lee	First Class Passenger
cast	Ronnie Loaiza	Comedy Club Goer
cast	Carl Marino	Traveler in SF Airport
cast	Laura Mayes	Comedy-Club Patron
cast	Elsa Morales Myers	Corporate Party Attendee
cast	Joti Nagra	Traveling Passenger
cast	Andrew J. Neis	Theatregoer
cast	Joe Nunez	Attendant
cast	Lizzie Partridge	Comedy & Magic Club Audience
cast	Montgomery Paulsen	Man in Airport
cast	David Alan Poe	Sky Cap
cast	Jeff Redlick	Airport Traveler
cast	Timothy Roberts	Security Guard
cast	Jeff Rosick	Bus Boy
cast	Kelli Shane	Airport Traveler
cast	Wilder Shaw	Largo Audience Member
cast	Matthew L. Sobel	Comedy & Magic Club Audience
cast	Christopher Sugarman	Norwegian Traveler
cast	Kerry Wing	Airline Ticket Buyer
cast	Jonathan Winnicki	Comedy & Magic Club Audience
cast	Nathan Wright	MySpace Employee
cast	Maria Zambrana	Comedy Club Patron
